"Overton","Cookeville","22-JUL-2016","0012839","133-22739","Hornet Corporation","Johnny Taylor #1A","36.500806","-85.240611","982.3","Knox Group","Oil And Gas"
"Scott","Knoxville","21-JUL-2016","0012838","151-20260-R1","ENREMA, LLC","Edward Lee Crabtree #S112R7","36.362028","-84.537944","1248.6","Chattanooga Shale","Oil And Gas"
"Fentress","Cookeville","12-JUL-2016","0012837","049-21779","Hornet Corporation","Charlotte Stephens Stover #4","36.553944","-85.0295","828.6","Knox Group","Oil And Gas"
"Overton","Cookeville","12-JUL-2016","0012836","133-22738","Arnco Oil Company, Inc.","Union Bank & Trust #AT1","36.394278","-85.250861","1000","Knox Group","Oil"
"Pickett","Cookeville","20-JUN-2016","0012835","137-20358-R1","Duncan Drilling Co.","Perry Garrett #1","36.584861","-85.104028","882.7","Knox Group","Oil And Gas"
"Fentress","Cookeville","15-JUN-2016","0012834","049-21778","Hornet Corporation","Jackie Upchurch #1","36.553361","-85.024833","900.6","Knox Group","Oil And Gas"
"Scott","Knoxville","10-JUN-2016","0012833","151-20190-R1","ENREMA, LLC","Jasper West & James West #S112R6","36.359111","-84.529972","1118.3","Chattanooga Shale","Oil And Gas"
"Scott","Knoxville","10-JUN-2016","0012832","151-20246-R1","ENREMA, LLC","Jasper/Rebecca & James/Yvonne West #S112R4","36.35475","-84.536694","1301.4","Chattanooga Shale","Oil And Gas"
"Scott","Knoxville","10-JUN-2016","0012831","151-20264-R1","ENREMA, LLC","Jasper West & James West #S112R5","36.356722","-84.529694","1137.4","Chattanooga Shale","Oil And Gas"
"Pickett","Cookeville","02-JUN-2016","0012830","137-20021-R1","Keller Energy, LLC","Nathan Elder #1","36.584417","-85.170333","1066","Knox Group","Oil"
"Overton","Cookeville","19-APR-2016","0012829","133-22737","Keller Energy, LLC","Mary Newberry Collins #2","36.422306","-85.184278","941","Knox Group","Oil"
"Overton","Cookeville","18-APR-2016","0012828","133-22736","Hornet Corporation","Garland Watkins #1","36.467389","-85.312778","1281.4","Knox Group","Oil And Gas"
"Pickett","Cookeville","12-APR-2016","0012827","137-21220","Hornet Corporation","Coleman Crouch ETAL #1","36.556611","-85.034611","949","Knox Group","Oil And Gas"
"Pickett","Cookeville","06-APR-2016","0012826","137-21219","Hornet Corporation","Jennifer & Mark Durby Arabella #2","36.571694","-85.174889","921.9","Knox Group","Oil And Gas"
"Pickett","Cookeville","23-MAR-2016","0012825","137-21218","Hornet Corporation","Jennifer & Mark Durby #1","36.538972","-85.243139","908.3","Knox Group","Oil And Gas"
"Scott","Knoxville","16-FEB-2016","0012824","151-20286-R1","ENREMA, LLC","WEST #S112R2","36.35325","-84.534528","1132","Chattanooga Shale","Oil"
"Scott","Knoxville","16-FEB-2016","0012823","151-20172-R1","ENREMA, LLC","CARSON #S95R1","36.388","-84.517333","1284","Chattanooga Shale","Oil"
"Morgan","Knoxville","16-FEB-2016","0012822","129-20096-R1","ENREMA, LLC","STARR #M171R1","36.295556","-84.754139","1556","Chattanooga Shale","Oil"
"Scott","Knoxville","16-FEB-2016","0012821","151-20340-R1","ENREMA, LLC","Crabtree-West #S112R3","36.356167","-84.538278","1360","Chattanooga Shale","Oil"
"Overton","Cookeville","05-FEB-2016","0012820","133-22735","Hornet Corporation","Kendel Smith #3","36.444389","-85.203333","956.5","Knox Group","Oil And Gas"
"Fentress","Cookeville","26-JAN-2016","0012818","049-21776","ENREMA, LLC","Bruno Gernt Est., Inc. #F-65V32","36.404222","-84.849722","1535.3","Monteagle Limestone","Oil And Gas"
"Fentress","Cookeville","26-JAN-2016","0012819","049-21777","ENREMA, LLC","Crooks Family, LLC #F-65V35","36.405833","-84.846056","1567.6","Monteagle Limestone","Oil And Gas"
"Morgan","Knoxville","04-JAN-2016","0012816","129-20257-R1","ENREMA, LLC","SCOTT MARGARET #M16R1","36.288611","-84.768083","1560.8","Fort Payne Formation","Oil And Gas"
"Scott","Knoxville","04-JAN-2016","0012817","151-20212-R1","ENREMA, LLC","Crabtree #S112R1","36.360111","-84.537694","1299.4","Fort Payne Formation","Oil And Gas"
"Overton","Cookeville","04-JAN-2016","0012815","133-22734","Signature Oil Corporation","Jimmie & Jack Clark #22","36.432806","-85.186861","916.8","Knox Group","Oil"
"Overton","Cookeville","21-DEC-2015","0012813","133-22732","Black Hawk Exploration LLC","Deloy Reeder - Reeder-Stover #RSUnit2","36.481139","-85.293944","10446","Knox Group","Oil And Gas"
"Overton","Cookeville","21-DEC-2015","0012814","133-22733","Black Hawk Exploration LLC","John M. Ramsey & Caston Ramsey #Ramsey2","36.480528","-85.290389","1032.4","Knox Group","Oil And Gas"
"Fentress","Cookeville","16-DEC-2015","0012812","049-21775","Putnam County, Bank of","Bank of Putnam County #1","36.184306","-85.020944","1801.6","Knox Group","Oil And Gas"
"Scott","Knoxville","11-DEC-2015","0012810","151-21670","ENREMA, LLC","The Brimstone Company #S104V4","36.378889","-84.513028","1681.4","Fort Payne Formation","Oil And Gas"
